colab_url,file_path,batch_idx
https://colab.research.google.com/drive/1zZKQEyg3vETSWlacIJl4oB1HxX2IRZqJ,Intermediate Interview preparation - System Design rounds__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1qCN0vH9_4kzBFwvZZ0eo_m5FxFdMZpzV,First Timer Interview preparation - Explain the problem step by step__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1CZn6yHBbx1lgn8lISgeBRZsEhBi9h8AB,First Timer Debugging and Troubleshooting - Debug error trace__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1yGa8bRg6cJoIMaupmxldkbZy8y6S-wFH,Advanced General coding help - Explain complex code snippets__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1iK5s_8A15YLKKOfb4ZIST0TlBIFcA-WF,Advanced General coding help - Add comments to code__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1GVNUyHl2Zf4aUSkYFY5xzOvKRzYGTMJt,Advanced Interview preparation - Debug and fix code__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1E4e7fAbM7bSSPP6FWox8FL0XmlgHnW-8,Beginner General coding help - Rewrite code using better formatting - best practises__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/10FWAAduYnTr2auK8i06rowYKuQNjOxYF,Intermediate General coding help - Refactor code__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1KnFoq2RC00qjys19k8vr0q4hWQUi96qn,Expert Interview preparation - User asks AI help to take an Interview. AI takes an interview__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1lp9XjHvA1aTPWJRglMUfAcqYR7r7BQ5w,Expert General coding help - Do a code review__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1pzQYXlUnGzjUlnTg48E5i_upicK5jL7A,Advanced General coding help - Explain complex code snippets__1_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1_rPYTqkwDn4gPsHvzt69INzv0eDo24ry,Advanced General coding help - Explain complex code snippets__2_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1_IPQgd_oBprySWdTrqCK2gkM8SfzAuBL,Expert General coding help - Explain complex code snippets__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1dxuF-0wSXQIdLb4LbCS5NNcG-d4ND-AF,First Timer Interview preparation - Proactively ask follow up questions__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1ZmGTOjWMp5Nia1YhN4klQnsJEhvOjN3b,Intermediate Debugging and Troubleshooting - Debug error trace__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/17kX08EWhQR0ihpeNZrpPjSEs_H8DbdlB,Intermediate General coding help - Rewrite code using better formatting - best practises__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1BRSvhVkON7FYOJYQG-KN_Empal_VNRRZ,Expert General coding help - Do a code review__1_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1RAwuwwv2rFQJaT4lVh_NP1KUpeoRnfhH,Advanced Interview preparation - Debug and fix code__1_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1eaN_-Z5FMiZ8Hj1W_6oSaB5YCxK69Zmq,Intermediate Interview preparation - Explain alternative solutions and trade offs__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1Qru0ZwJUY1tZpdk8j-d7WaGclg8gf6Pb,Intermediate General coding help - Refactor code__1_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1qgK48wIXxfwECJBs2uJMc0-b53SNebxj,Intermediate General coding help - Explain complex code snippets__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1UpI39md1PxqgZGpcDq64C1pJkMD4laMX,Expert Write unit test - Explain code with comments__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1gSaj3R8RoafdIlwrCDprdrPz7kR-SHjr,Beginner General coding help - Add comments to code__0_V3_B.ipynb,batch_4
https://colab.research.google.com/drive/1zpGj4YgQu5rsyXPnb6GHdj-Mjkl5mOKs,Advanced General coding help - Add comments to code__1_V3_B.ipynb,batch_4
